12.122s vboxadd.service
11.180s plymouth-quit-wait.service
 2.506s fwupd.service
 1.724s blueman-mechanism.service
 1.285s dpkg-db-backup.service
 1.059s dev-sda1.device
  782ms NetworkManager.service
  777ms accounts-daemon.service
  744ms udisks2.service
  691ms apt-daily.service
  681ms networking.service
  653ms systemd-fsck@dev-disk-by\x2duuid-db04007c\x2d184e\x2d4fe4\x2d9fe3\x2ddb50813e44bf.service
  627ms polkit.service
  549ms lm-sensors.service
  531ms e2scrub_reap.service
  431ms systemd-logind.service
  402ms apparmor.service
  401ms ModemManager.service
  349ms grub-common.service
  337ms systemd-udev-trigger.service
  326ms avahi-daemon.service
  286ms user@1000.service
  273ms cups.service
  250ms systemd-journald.service
  242ms dbus.service
  241ms systemd-udevd.service
  212ms lvm2-monitor.service
  211ms systemd-hostnamed.service
  206ms keyboard-setup.service
  189ms systemd-modules-load.service
  188ms alsa-restore.service
  163ms upower.service
  162ms systemd-tmpfiles-setup-dev-early.service
  154ms wpa_supplicant.service
  147ms systemd-tmpfiles-setup.service
  134ms lightdm.service
  133ms modprobe@configfs.service
  124ms systemd-remount-fs.service
  115ms modprobe@fuse.service
  115ms systemd-journal-flush.service
  115ms sysstat.service
  114ms systemd-binfmt.service
  112ms colord.service
  110ms home.mount
  106ms plymouth-start.service
   98ms systemd-user-sessions.service
   93ms dev-hugepages.mount
   92ms logrotate.service
   91ms dev-mqueue.mount
   90ms user-runtime-dir@1000.service
   86ms run-lock.mount
   85ms systemd-tmpfiles-clean.service
   84ms sys-kernel-debug.mount
   79ms sys-kernel-tracing.mount
   76ms blk-availability.service
   75ms systemd-random-seed.service
   69ms systemd-udev-load-credentials.service
   64ms kmod-static-nodes.service
   62ms plymouth-read-write.service
   62ms modprobe@efi_pstore.service
   59ms modprobe@sd_mod.service
   57ms modprobe@drm.service
   55ms proc-sys-fs-binfmt_misc.mount
   54ms systemd-sysctl.service
   53ms sysfsutils.service
   50ms console-setup.service
   46ms tmp.mount
   45ms sysstat-collect.service
   45ms vboxadd-service.service
   44ms dev-disk-by\x2duuid-cddf9ba8\x2d58fe\x2d43a8\x2d8811\x2de834ae7753df.swap
   41ms rtkit-daemon.service
   37ms systemd-tmpfiles-setup-dev.service
   36ms sys-fs-fuse-connections.mount
   30ms sys-kernel-config.mount
   28ms ifupdown-pre.service
